Order_ID,Customer_Name,City,Category,Product_Name,Quantity,Price,Discount_Percent,Payment_Method,Order_Date,Total_Amount
96,Nicholas,Barishal,Sports,Main,3,402,10,Cash,2025-04-30,1085.4
97,David,Dhaka,Books,Mouth,3,65,20,Nagad,2025-02-11,156.0
98,Jessica,Barishal,Electronics,Chance,2,48,20,Bkash,2025-04-12,76.8
99,Lindsay,Chittagong,Sports,Various,5,410,0,Nagad,2025-01-31,2050.0
100,Michael,Dhaka,Home,Look,1,269,10,Nagad,2025-04-05,242.1
101,Matthew,Barishal,Home,Step,4,195,15,Card,2025-01-28,663.0
102,David,Khulna,Home,Particular,3,325,20,Nagad,2025-05-14,780.0
103,Sarah,Dhaka,Books,Program,3,446,5,Nagad,2025-03-10,1271.1
104,Andrew,Khulna,Books,Discussion,4,301,20,Cash,2025-03-04,963.2
105,John,Barishal,Books,Would,3,103,15,Bkash,2025-05-07,262.65
106,Ryan,Chittagong,Sports,Scientist,3,460,20,Cash,2025-03-29,1104.0
107,Shaun,Khulna,Home,Allow,2,53,5,Card,2025-05-13,100.7
108,Jacqueline,Dhaka,Books,Miss,4,239,0,Card,2025-05-02,956.0
109,Tamara,Chittagong,Home,Sing,2,166,20,Bkash,2025-04-14,265.6
110,Chad,Khulna,Books,Officer,5,179,10,Bkash,2025-04-19,805.5
111,Bonnie,Chittagong,Electronics,Why,2,71,5,Card,2025-03-06,134.9
112,Karen,Chittagong,Sports,Quite,2,388,15,Bkash,2025-02-19,659.6
113,Jennifer,Chittagong,Clothing,Have,2,161,5,Bkash,2025-01-26,305.9
114,Mark,Dhaka,Electronics,Whether,5,74,10,Bkash,2025-01-04,333.0
115,Robert,Rajshahi,Books,Why,4,62,0,Nagad,2025-02-02,248.0
116,Brian,Dhaka,Books,Never,4,184,5,Nagad,2025-05-03,699.2
117,Christopher,Dhaka,Sports,Determine,1,215,15,Cash,2025-01-30,182.75
118,Christian,Chittagong,Electronics,Ball,2,425,20,Card,2025-02-08,680.0
119,Erin,Rajshahi,Sports,Live,5,401,15,Card,2025-01-31,1704.25
120,Julie,Chittagong,Sports,During,4,240,15,Nagad,2025-05-14,816.0
121,Michael,Rajshahi,Electronics,For,5,327,0,Card,2025-03-20,1635.0
122,Julie,Barishal,Clothing,Could,3,348,0,Card,2025-02-24,1044.0
123,Christine,Khulna,Sports,Process,2,11,15,Nagad,2025-01-20,18.7
124,Jared,Chittagong,Home,Hot,1,128,10,Cash,2025-03-16,115.2
125,Emily,Barishal,Home,Program,3,413,20,Cash,2025-03-01,991.2
126,Gabriel,Chittagong,Clothing,Record,2,341,5,Cash,2025-05-20,647.9
127,Courtney,Rajshahi,Sports,Soon,2,415,10,Bkash,2025-01-16,747.0
128,Donald,Khulna,Books,Age,1,249,10,Nagad,2025-04-23,224.1
129,Arthur,Khulna,Books,Senior,1,316,0,Bkash,2025-04-23,316.0
130,Denise,Rajshahi,Electronics,Idea,1,127,20,Bkash,2025-01-07,101.6
131,Jeffrey,Khulna,Books,Effort,2,250,20,Card,2025-01-11,400.0
132,Philip,Chittagong,Home,Wife,4,56,15,Bkash,2025-04-22,190.4
133,Rebecca,Chittagong,Home,Past,1,449,5,Nagad,2025-03-24,426.55
134,Aaron,Dhaka,Home,Must,4,426,20,Cash,2025-03-15,1363.2
135,Jennifer,Khulna,Sports,Apply,3,175,0,Cash,2025-03-22,525.0
136,Joseph,Barishal,Sports,Catch,4,221,0,Bkash,2025-05-19,884.0
137,Debbie,Barishal,Books,Heavy,4,399,0,Card,2025-05-08,1596.0
138,Joshua,Dhaka,Electronics,Learn,4,460,15,Card,2025-03-15,1564.0
139,Larry,Rajshahi,Home,By,3,292,0,Cash,2025-02-10,876.0
140,Douglas,Barishal,Home,City,1,246,0,Bkash,2025-02-27,246.0
141,Jeremiah,Khulna,Clothing,Call,3,222,15,Nagad,2025-05-11,566.1
142,Travis,Rajshahi,Clothing,These,4,107,20,Cash,2025-02-07,342.4
143,Jeffrey,Chittagong,Electronics,Religious,4,184,20,Bkash,2025-03-12,588.8
144,Wendy,Barishal,Home,Nothing,5,306,15,Nagad,2025-03-18,1300.5
145,John,Khulna,Home,Police,3,292,20,Bkash,2025-03-30,700.8
146,Richard,Barishal,Home,Sound,2,302,15,Cash,2025-02-18,513.4
147,Brittany,Khulna,Clothing,Or,4,371,15,Nagad,2025-03-23,1261.4
148,Lisa,Chittagong,Electronics,Yourself,2,267,20,Nagad,2025-01-10,427.2
149,Frank,Dhaka,Clothing,Wait,5,476,15,Nagad,2025-01-26,2023.0
150,Steven,Chittagong,Sports,Use,1,250,10,Nagad,2025-02-09,225.0
151,Tina,Khulna,Books,On,3,446,20,Nagad,2025-01-21,1070.4
152,Shirley,Barishal,Books,Way,1,326,0,Card,2025-05-19,326.0
153,Julie,Khulna,Clothing,Again,4,60,0,Bkash,2025-01-24,240.0
154,Chad,Chittagong,Books,Central,1,176,0,Bkash,2025-01-08,176.0
155,Micheal,Khulna,Sports,Quite,2,135,20,Card,2025-04-21,216.0
156,Shari,Khulna,Sports,Adult,2,50,20,Card,2025-02-13,80.0
157,Greg,Khulna,Books,Increase,5,83,5,Nagad,2025-05-08,394.25
158,Jennifer,Chittagong,Sports,Kind,1,470,15,Card,2025-03-07,399.5
159,Tyler,Rajshahi,Books,Data,4,493,10,Nagad,2025-01-19,1774.8
160,Cheryl,Barishal,Home,National,4,442,10,Nagad,2025-03-06,1591.2
161,Paul,Chittagong,Sports,Country,2,205,20,Bkash,2025-01-28,328.0
162,Dylan,Chittagong,Electronics,Me,1,434,15,Cash,2025-03-17,368.9
163,Victoria,Rajshahi,Books,Apply,3,407,5,Card,2025-05-08,1159.95
164,Chelsey,Dhaka,Electronics,Party,5,138,5,Bkash,2025-02-18,655.5
165,David,Barishal,Electronics,Whatever,1,306,10,Bkash,2025-04-23,275.4
166,Daniel,Barishal,Sports,Morning,4,99,5,Bkash,2025-03-25,376.2
167,Dawn,Barishal,Books,Near,5,477,10,Nagad,2025-05-16,2146.5
168,Sherry,Khulna,Electronics,Unit,3,421,0,Card,2025-03-17,1263.0
169,Stacy,Chittagong,Electronics,Inside,4,443,20,Nagad,2025-02-27,1417.6
170,Brittany,Khulna,Books,Feel,3,284,0,Bkash,2025-01-04,852.0
171,Michael,Khulna,Electronics,Building,3,65,5,Bkash,2025-04-08,185.25
172,Karl,Chittagong,Home,Computer,1,335,15,Cash,2025-02-26,284.75
173,Jonathan,Chittagong,Home,Idea,1,494,0,Cash,2025-02-05,494.0
174,Lauren,Barishal,Home,Truth,2,464,20,Nagad,2025-01-25,742.4
175,Alicia,Barishal,Home,Government,5,224,20,Cash,2025-04-05,896.0
176,Julian,Dhaka,Books,Building,5,218,10,Card,2025-05-06,981.0
177,James,Chittagong,Electronics,Anything,4,496,5,Bkash,2025-04-24,1884.8
178,Justin,Chittagong,Clothing,Early,3,41,15,Cash,2025-05-20,104.55
179,Deborah,Rajshahi,Electronics,Return,1,349,5,Cash,2025-04-27,331.55
180,Eric,Barishal,Electronics,These,2,74,20,Card,2025-03-27,118.4
181,Alex,Rajshahi,Electronics,Stock,2,178,5,Bkash,2025-02-25,338.2
182,Nicholas,Barishal,Electronics,Seem,2,286,10,Cash,2025-02-07,514.8
183,Brian,Rajshahi,Books,Throw,1,193,5,Cash,2025-02-03,183.35
184,Christina,Khulna,Sports,Effort,3,36,5,Cash,2025-02-14,102.6
185,Ricky,Rajshahi,Sports,Partner,4,239,10,Cash,2025-01-17,860.4
186,Luis,Dhaka,Sports,However,5,123,20,Bkash,2025-04-26,492.0
187,Ralph,Khulna,Home,Piece,1,41,15,Cash,2025-04-28,34.85
188,Nicholas,Chittagong,Sports,Probably,4,47,0,Card,2025-05-06,188.0
189,Mitchell,Rajshahi,Sports,Animal,2,150,20,Bkash,2025-01-17,240.0
190,Angela,Khulna,Sports,Type,5,281,10,Nagad,2025-04-08,1264.5
191,Theresa,Barishal,Home,Whether,1,446,20,Nagad,2025-01-26,356.8
192,Nathan,Khulna,Home,Nor,4,183,15,Cash,2025-02-28,622.2
193,Justin,Chittagong,Clothing,Social,4,170,10,Nagad,2025-03-22,612.0
194,Elizabeth,Dhaka,Home,Actually,1,435,0,Cash,2025-01-18,435.0
195,Hunter,Rajshahi,Sports,Notice,2,294,0,Bkash,2025-04-06,588.0
196,James,Dhaka,Books,Relate,4,191,15,Bkash,2025-02-01,649.4
197,Susan,Barishal,Clothing,Life,1,305,20,Nagad,2025-04-01,244.0
198,Lori,Chittagong,Electronics,Such,1,189,20,Bkash,2025-02-27,151.2
199,Rebecca,Rajshahi,Sports,Ever,4,442,20,Cash,2025-02-27,1414.4
200,Annette,Chittagong,Books,Glass,1,102,10,Bkash,2025-03-10,91.8
